airline_price,season,competitor_price,days_before_departure,demand
140,shoulder,151.41,49,76.0
110,high,130.72,288,180.0
170,shoulder,175.77,60,48.0
100,shoulder,83.88,352,100.0
190,low,194.5,201,58.0
180,low,187.7,208,46.0
150,low,141.86,282,73.0
200,low,201.18,339,73.0
190,high,182.73,119,54.0
130,low,128.7,254,98.0
180,shoulder,199.74,275,108.0
120,low,123.12,0,46.0
130,low,108.97,8,21.0
100,low,87.63,52,51.0
190,shoulder,193.01,317,87.0
100,low,98.07,291,115.0
140,high,146.73,126,89.0
130,low,148.17,105,78.0
140,low,148.9,116,66.0
150,low,159.71,165,72.0
100,shoulder,83.77,97,64.0
120,shoulder,119.32,154,75.0
170,shoulder,174.67,64,56.0
120,high,107.19,356,130.0
180,low,141.46,345,24.0
150,shoulder,152.17,116,58.0
130,low,125.56,144,77.0
150,low,145.06,205,64.0
100,low,116.63,192,131.0
150,shoulder,154.84,81,51.0
190,high,160.66,1,37.0
100,high,105.57,99,120.0
160,low,149.44,349,61.0
170,shoulder,178.35,43,60.0
120,high,149.36,289,180.0
160,shoulder,172.62,211,108.0
160,low,168.44,187,68.0
200,shoulder,206.63,88,42.0
200,shoulder,196.02,242,58.0
120,shoulder,138.33,157,120.0
120,high,122.5,359,175.0
100,high,81.35,325,113.0
110,low,115.23,78,66.0
110,shoulder,119.49,147,101.0
130,high,160.2,12,103.0
180,high,191.72,165,102.0
130,high,162.21,84,135.0
130,high,116.37,320,87.0
120,shoulder,102.19,278,60.0
150,high,174.26,210,147.0
190,shoulder,189.36,108,33.0
150,high,155.52,87,79.0
140,low,167.14,92,61.0
160,shoulder,175.3,334,128.0
190,shoulder,213.85,156,80.0
150,low,168.57,266,104.0
190,high,175.35,35,28.0
120,low,106.68,137,46.0
150,high,141.34,32,44.0
150,shoulder,162.04,191,83.0
160,high,171.41,81,81.0
150,high,126.22,254,81.0
170,low,144.63,195,38.0
130,low,145.82,151,90.0
100,high,92.47,44,74.0
120,shoulder,115.58,291,117.0
130,shoulder,122.48,276,85.0
200,shoulder,190.52,67,50.0
110,high,111.59,320,174.0
190,low,198.71,107,56.0
200,low,199.59,160,33.0
190,high,152.98,119,17.0
180,high,163.11,109,31.0
180,low,175.96,305,69.0
100,shoulder,91.26,349,140.0
180,low,184.69,25,38.0
160,high,165.92,84,68.0
160,shoulder,164.74,245,102.0
110,low,96.21,172,51.0
140,shoulder,106.29,260,36.0
130,low,125.6,355,89.0
150,high,180.81,296,180.0
150,low,157.94,189,73.0
140,high,146.43,80,91.0
190,high,182.39,78,39.0
200,low,207.96,69,29.0
130,high,134.89,169,116.0
180,shoulder,171.08,140,62.0
120,shoulder,126.4,235,135.0
130,high,129.03,321,147.0
100,low,95.39,182,76.0
160,high,175.19,314,142.0
120,low,125.07,76,59.0
180,shoulder,191.19,226,93.0
200,low,202.7,32,49.0
130,low,116.24,53,45.0
130,shoulder,133.84,332,131.0
180,shoulder,181.27,184,69.0
120,low,114.23,335,93.0
160,low,140.54,231,45.0
120,shoulder,137.23,27,93.0
100,high,50.84,357,0.0
130,shoulder,109.54,321,56.0
100,low,123.47,221,159.0
130,low,118.11,314,62.0
190,high,195.18,32,51.0
100,high,125.02,196,180.0
140,low,150.18,211,104.0
120,high,137.46,223,165.0
200,low,193.3,98,32.0
170,shoulder,178.97,355,110.0
110,shoulder,112.88,21,60.0
120,shoulder,87.8,273,42.0
120,shoulder,106.72,61,46.0
120,low,112.58,218,59.0
110,shoulder,94.63,282,89.0
150,high,121.61,172,34.0
190,low,185.33,179,39.0
150,shoulder,148.22,190,61.0
130,high,142.5,314,180.0
170,low,156.07,104,33.0
110,high,133.72,53,137.0
100,shoulder,89.2,77,60.0
110,low,120.07,218,129.0
110,shoulder,126.82,183,139.0
180,low,197.57,341,97.0
130,high,132.08,79,79.0
150,high,165.68,27,58.0
140,shoulder,134.85,89,49.0
140,low,127.37,180,47.0
120,high,110.86,196,99.0
140,shoulder,137.61,318,111.0
200,shoulder,190.3,36,14.0
150,high,146.58,187,86.0
160,shoulder,153.61,361,105.0
140,low,145.66,285,98.0
120,low,122.12,133,73.0
160,low,159.47,212,53.0
110,low,96.66,56,50.0
170,low,158.8,154,33.0
160,shoulder,169.19,28,51.0
200,high,231.2,62,95.0
120,low,142.48,110,80.0
130,high,127.09,204,118.0
190,high,169.65,162,35.0
140,high,159.98,363,180.0
110,shoulder,91.91,171,71.0
140,shoulder,132.99,11,51.0
110,high,127.33,194,162.0
200,low,177.77,344,58.0
100,high,112.31,87,156.0
170,shoulder,171.1,92,40.0
130,high,134.7,220,142.0
140,shoulder,167.28,96,115.0
150,shoulder,131.19,290,58.0
100,low,123.38,360,180.0
180,high,194.41,315,128.0
120,high,105.96,182,78.0
120,high,117.32,116,99.0
150,low,145.97,259,59.0
140,shoulder,144.53,98,61.0
200,high,209.24,86,69.0
190,shoulder,170.49,167,35.0
150,low,150.27,230,72.0
130,low,132.46,39,58.0
130,low,150.0,141,82.0
200,shoulder,239.06,205,117.0
140,shoulder,145.96,220,106.0
160,high,152.83,36,47.0
180,high,178.45,332,105.0
140,high,143.45,277,126.0
120,high,106.98,52,58.0
120,shoulder,118.13,11,60.0
100,high,88.58,130,85.0
200,low,204.87,194,45.0
160,shoulder,165.11,251,95.0
120,low,102.91,253,67.0
180,low,174.56,331,64.0
190,high,180.81,137,59.0
120,shoulder,119.09,80,80.0
140,high,156.39,344,180.0
130,low,99.31,359,45.0
140,high,146.29,217,117.0
140,high,156.5,231,151.0
100,high,103.28,218,155.0
180,shoulder,167.28,164,50.0
130,shoulder,105.15,153,50.0
140,low,124.63,326,55.0
120,low,140.03,295,145.0
190,shoulder,202.76,22,28.0
120,high,139.43,280,180.0
200,shoulder,200.75,344,70.0
180,shoulder,185.24,61,61.0
140,shoulder,141.31,33,66.0
100,shoulder,112.28,342,174.0
100,low,92.88,146,57.0
200,shoulder,191.47,361,66.0
160,high,160.88,169,74.0
160,shoulder,152.66,52,36.0
170,high,164.65,150,75.0
160,high,153.44,315,102.0
170,low,166.35,173,42.0
190,shoulder,188.59,126,42.0
130,low,120.76,228,65.0
190,shoulder,196.22,231,80.0
170,shoulder,173.03,297,91.0
180,high,175.54,43,52.0
120,high,130.22,317,180.0
190,high,198.07,168,74.0
110,low,100.79,330,104.0
100,low,111.54,285,151.0
160,low,190.95,244,115.0
130,high,152.87,74,122.0
180,high,185.84,86,73.0
140,high,118.37,153,33.0
190,low,202.69,20,36.0
190,high,183.32,164,68.0
160,shoulder,137.62,274,55.0
170,low,173.18,110,55.0
190,high,184.49,310,84.0
120,low,105.39,337,69.0
200,low,179.87,204,38.0
